"","hour","wday","N","Acorn_group","stdorToU"
"180",1,"Thu",106.212460484721,"Comfortable","ToU"
"181",1,"Fri",109.056375131718,"Comfortable","ToU"
"182",1,"Sat",116.743018967334,"Comfortable","ToU"
"183",2,"Sun",101.027002107482,"Comfortable","ToU"
"184",2,"Mon",94.8536617492097,"Comfortable","ToU"
"185",2,"Tue",96.7470922719049,"Comfortable","ToU"
"186",2,"Wed",94.1572708113804,"Comfortable","ToU"
"187",2,"Thu",94.9917017913593,"Comfortable","ToU"
"188",2,"Fri",96.3403582718651,"Comfortable","ToU"
"189",2,"Sat",102.503029504742,"Comfortable","ToU"
"190",3,"Sun",93.1149894625922,"Comfortable","ToU"
"191",3,"Mon",91.195468914647,"Comfortable","ToU"
"192",3,"Tue",93.1983716722667,"Comfortable","ToU"
"193",3,"Wed",93.2497365648051,"Comfortable","ToU"
"194",3,"Thu",91.4619336143309,"Comfortable","ToU"
"195",3,"Fri",93.3560326659642,"Comfortable","ToU"
"196",3,"Sat",94.3040042149631,"Comfortable","ToU"
"197",4,"Sun",91.9504741833509,"Comfortable","ToU"
"198",4,"Mon",92.9828767123288,"Comfortable","ToU"
"199",4,"Tue",95.7333936417679,"Comfortable","ToU"
"200",4,"Wed",93.2760800842993,"Comfortable","ToU"
"201",4,"Thu",93.5529504741833,"Comfortable","ToU"
"202",4,"Fri",95.6082718651212,"Comfortable","ToU"
"203",4,"Sat",93.2687038988409,"Comfortable","ToU"
"204",5,"Sun",98.3196786090622,"Comfortable","ToU"
"205",5,"Mon",102.743940990516,"Comfortable","ToU"
"206",5,"Tue",106.385112432153,"Comfortable","ToU"
"207",5,"Wed",105.338119072708,"Comfortable","ToU"
"208",5,"Thu",106.026080084299,"Comfortable","ToU"
"209",5,"Fri",106.993545837724,"Comfortable","ToU"
"210",5,"Sat",99.2042939936776,"Comfortable","ToU"
"211",6,"Sun",116.149762908325,"Comfortable","ToU"
"212",6,"Mon",137.507639620653,"Comfortable","ToU"
"213",6,"Tue",145.032566554665,"Comfortable","ToU"
"214",6,"Wed",142.276080084299,"Comfortable","ToU"
"215",6,"Thu",140.911222339305,"Comfortable","ToU"
"216",6,"Fri",142.038198103267,"Comfortable","ToU"
"217",6,"Sat",119.69112223393,"Comfortable","ToU"
"218",7,"Sun",158.440463645943,"Comfortable","ToU"
"219",7,"Mon",190.360247629083,"Comfortable","ToU"
"220",7,"Tue",199.113595244249,"Comfortable","ToU"
"221",7,"Wed",200.895021074816,"Comfortable","ToU"
"222",7,"Thu",199.095626975764,"Comfortable","ToU"
"223",7,"Fri",193.278846153846,"Comfortable","ToU"
"224",7,"Sat",164.265147523709,"Comfortable","ToU"
"225",8,"Sun",195.8958113804,"Comfortable","ToU"
"226",8,"Mon",209.649367755532,"Comfortable","ToU"
"227",8,"Tue",208.383690876195,"Comfortable","ToU"
"228",8,"Wed",210.052160168599,"Comfortable","ToU"
"229",8,"Thu",211.338250790306,"Comfortable","ToU"
"230",8,"Fri",211.987618545838,"Comfortable","ToU"
"231",8,"Sat",196.589436248683,"Comfortable","ToU"
"232",9,"Sun",216.601949420443,"Comfortable","ToU"
"233",9,"Mon",192.023314014752,"Comfortable","ToU"
"234",9,"Tue",190.985655208064,"Comfortable","ToU"
"235",9,"Wed",190.922154899895,"Comfortable","ToU"
"236",9,"Thu",191.459826132771,"Comfortable","ToU"
"237",9,"Fri",197.155690200211,"Comfortable","ToU"
"238",9,"Sat",212.109325605901,"Comfortable","ToU"
"239",10,"Sun",223.257244467861,"Comfortable","ToU"
"240",10,"Mon",181.924262381454,"Comfortable","ToU"
"241",10,"Tue",175.786508141639,"Comfortable","ToU"
"242",10,"Wed",181.068097997893,"Comfortable","ToU"
"243",10,"Thu",175.402660695469,"Comfortable","ToU"
"244",10,"Fri",187.944942044257,"Comfortable","ToU"
"245",10,"Sat",210.505927291886,"Comfortable","ToU"
"246",11,"Sun",228.07863540569,"Comfortable","ToU"
"247",11,"Mon",186.469046364594,"Comfortable","ToU"
"248",11,"Tue",186.320883949341,"Comfortable","ToU"
"249",11,"Wed",185.20521601686,"Comfortable","ToU"
"250",11,"Thu",182.283719704953,"Comfortable","ToU"
"251",11,"Fri",196.440331928346,"Comfortable","ToU"
"252",11,"Sat",217.082455216017,"Comfortable","ToU"
"253",12,"Sun",237.849446786091,"Comfortable","ToU"
"254",12,"Mon",186.848129610116,"Comfortable","ToU"
"255",12,"Tue",185.251227707418,"Comfortable","ToU"
"256",12,"Wed",182.863672286617,"Comfortable","ToU"
"257",12,"Thu",178.304399367756,"Comfortable","ToU"
"258",12,"Fri",189.689805057956,"Comfortable","ToU"
"259",12,"Sat",225.940727081138,"Comfortable","ToU"
"260",13,"Sun",230.608930453109,"Comfortable","ToU"
"261",13,"Mon",178.211143308746,"Comfortable","ToU"
"262",13,"Tue",178.343370379943,"Comfortable","ToU"
"263",13,"Wed",175.057955742887,"Comfortable","ToU"
"264",13,"Thu",171.847075869336,"Comfortable","ToU"
"265",13,"Fri",175.593519494204,"Comfortable","ToU"
"266",13,"Sat",220.534641728135,"Comfortable","ToU"
"267",14,"Sun",222.04373024236,"Comfortable","ToU"
"268",14,"Mon",174.194942044257,"Comfortable","ToU"
"269",14,"Tue",172.382657017317,"Comfortable","ToU"
"270",14,"Wed",172.952845100105,"Comfortable","ToU"
"271",14,"Thu",170.80835089568,"Comfortable","ToU"
"272",14,"Fri",174.293861959958,"Comfortable","ToU"
"273",14,"Sat",210.817307692308,"Comfortable","ToU"
"274",15,"Sun",230.800184404636,"Comfortable","ToU"
"275",15,"Mon",180.691912539515,"Comfortable","ToU"
"276",15,"Tue",180.336779529594,"Comfortable","ToU"
"277",15,"Wed",174.23906743941,"Comfortable","ToU"
"278",15,"Thu",176.404109589041,"Comfortable","ToU"
"279",15,"Fri",185.79636459431,"Comfortable","ToU"
"280",15,"Sat",209.836933614331,"Comfortable","ToU"
"281",16,"Sun",244.946390937829,"Comfortable","ToU"
"282",16,"Mon",206.833904109589,"Comfortable","ToU"
"283",16,"Tue",206.550659085035,"Comfortable","ToU"
"284",16,"Wed",200.15727081138,"Comfortable","ToU"
"285",16,"Thu",201.656612223393,"Comfortable","ToU"
"286",16,"Fri",207.96404109589,"Comfortable","ToU"
"287",16,"Sat",223.312961011591,"Comfortable","ToU"
"288",17,"Sun",259.404636459431,"Comfortable","ToU"
"289",17,"Mon",247.244336143309,"Comfortable","ToU"
"290",17,"Tue",255.579219436547,"Comfortable","ToU"
"291",17,"Wed",236.69375658588,"Comfortable","ToU"
"292",17,"Thu",241.847602739726,"Comfortable","ToU"
"293",17,"Fri",240.997760800843,"Comfortable","ToU"
"294",17,"Sat",245.80677028451,"Comfortable","ToU"
"295",18,"Sun",267.777792413066,"Comfortable","ToU"
"296",18,"Mon",268.09009483667,"Comfortable","ToU"
"297",18,"Tue",277.344016541742,"Comfortable","ToU"
"298",18,"Wed",263.481032665964,"Comfortable","ToU"
"299",18,"Thu",265.784773445732,"Comfortable","ToU"
"300",18,"Fri",262.040964172814,"Comfortable","ToU"
"301",18,"Sat",258.596153846154,"Comfortable","ToU"
"302",19,"Sun",276.265937829294,"Comfortable","ToU"
"303",19,"Mon",273.525553213909,"Comfortable","ToU"
"304",19,"Tue",280.754716981132,"Comfortable","ToU"
"305",19,"Wed",261.303082191781,"Comfortable","ToU"
"306",19,"Thu",270.030953635406,"Comfortable","ToU"
"307",19,"Fri",262.581664910432,"Comfortable","ToU"
"308",19,"Sat",259.175184404636,"Comfortable","ToU"
"309",20,"Sun",269.611037934668,"Comfortable","ToU"
"310",20,"Mon",274.429399367756,"Comfortable","ToU"
"311",20,"Tue",272.975316619281,"Comfortable","ToU"
"312",20,"Wed",256.116570073762,"Comfortable","ToU"
"313",20,"Thu",260.828371970495,"Comfortable","ToU"
"314",20,"Fri",256.511591148577,"Comfortable","ToU"
"315",20,"Sat",249.399894625922,"Comfortable","ToU"
"316",21,"Sun",250.843387776607,"Comfortable","ToU"
"317",21,"Mon",263.241438356164,"Comfortable","ToU"
"318",21,"Tue",264.612432153011,"Comfortable","ToU"
"319",21,"Wed",250.649762908325,"Comfortable","ToU"
"320",21,"Thu",255.865384615385,"Comfortable","ToU"
"321",21,"Fri",245.725895679663,"Comfortable","ToU"
"322",21,"Sat",231.882112750263,"Comfortable","ToU"
"323",22,"Sun",222.767913593256,"Comfortable","ToU"
"324",22,"Mon",232.213250790306,"Comfortable","ToU"
"325",22,"Tue",233.433316102352,"Comfortable","ToU"
"326",22,"Wed",225.55887776607,"Comfortable","ToU"
"327",22,"Thu",226.109984193888,"Comfortable","ToU"
"328",22,"Fri",224.314936775553,"Comfortable","ToU"
"329",22,"Sat",210.143835616438,"Comfortable","ToU"
"330",23,"Sun",177.863672286617,"Comfortable","ToU"
"331",23,"Mon",179.199420442571,"Comfortable","ToU"
"332",23,"Tue",183.895063323856,"Comfortable","ToU"
"333",23,"Wed",176.441517386723,"Comfortable","ToU"
"334",23,"Thu",179.539515279241,"Comfortable","ToU"
"335",23,"Fri",187.674525816649,"Comfortable","ToU"
"336",23,"Sat",180.770943097998,"Comfortable","ToU"
"337",0,"Sun",284.708039453383,"Affluent","Std"
"338",0,"Mon",264.31006171479,"Affluent","Std"
"339",0,"Tue",260.609233929826,"Affluent","Std"
"340",0,"Wed",260.697900595107,"Affluent","Std"
"341",0,"Thu",263.202887370509,"Affluent","Std"
"342",0,"Fri",265.040500330615,"Affluent","Std"
"343",0,"Sat",279.684483138638,"Affluent","Std"
"344",1,"Sun",218.143238924399,"Affluent","Std"
"345",1,"Mon",203.776972669165,"Affluent","Std"
"346",1,"Tue",204.473941720279,"Affluent","Std"
"347",1,"Wed",200.767164425832,"Affluent","Std"
"348",1,"Thu",202.147922636103,"Affluent","Std"
"349",1,"Fri",205.683078025127,"Affluent","Std"
"350",1,"Sat",212.603399823672,"Affluent","Std"
